Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
200812D100026,460830.0,452510.0,-1.074261,53.965099,12,Severe,1,1,10/01/2008,5,58:00.0,189,E06000014,6,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01013369
2.00912E+12,460220.0,446720.0,-1.084698,53.913137,12,Severe,1,1,01/01/2009,5,40:00.0,189,E06000014,4,1222,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01013450
2.00912E+12,465130.0,451620.0,-1.008917,53.956579,12,Medium,2,1,04/01/2009,1,15:00.0,189,E06000014,3,1079,3,40,3,2,4,1228,0,0,4,1,2,0,0,2,1,E01013351
2.00912E+12,459310.0,450910.0,-1.097738,53.950897,12,Medium,2,2,06/01/2009,3,38:00.0,189,E06000014,3,1036,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01013417
2.00912E+12,462620.0,451500.0,-1.047187,53.95581,12,Severe,1,1,05/01/2009,2,20:00.0,189,E06000014,6,0,6,30,0,-1,-1,0,0,1,4,1,1,0,0,1,2,-1
2.00912E+12,462720.0,451280.0,-1.045709,53.95382,12,Severe,3,2,06/01/2009,3,00:00.0,189,E06000014,3,1079,6,30,6,2,6,0,0,5,4,1,1,0,0,1,1,E01013398
2.00912E+12,461750.0,449810.0,-1.060785,53.940726,12,Severe,2,1,07/01/2009,4,20:00.0,189,E06000014,6,0,1,30,1,4,6,0,0,0,4,1,2,0,0,1,1,E01013360
2.00912E+12,461210.0,454190.0,-1.068133,53.980152,12,Severe,2,1,08/01/2009,5,40:00.0,189,E06000014,6,0,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01013406
2.00912E+12,458910.0,452780.0,-1.103472,53.967748,12,Medium,2,1,09/01/2009,6,34:00.0,189,E06000014,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01013390
2.00912E+12,462070.0,457310.0,-1.054386,54.008088,12,Severe,1,1,09/01/2009,6,55:00.0,189,E06000014,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,2,2,E01013436
2.00912E+12,459120.0,447850.0,-1.101224,53.923419,12,Severe,2,1,10/01/2009,7,02:00.0,189,E06000014,6,0,6,30,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01013340
2.00912E+12,462010.0,456930.0,-1.055379,54.00468,12,Severe,2,1,10/01/2009,7,20:00.0,189,E06000014,3,1237,1,60,1,4,6,0,0,0,4,1,1,0,0,2,1,E01013409
2.00912E+12,460520.0,451820.0,-1.079123,53.958935,12,Severe,2,1,12/01/2009,2,45:00.0,189,E06000014,6,0,2,30,9,4,6,0,0,0,1,1,2,0,0,1,1,E01013367
2.00912E+12,466310.0,457930.0,-0.989565,54.013134,12,Severe,3,1,12/01/2009,2,45:00.0,189,E06000014,3,64,6,60,6,4,6,0,0,0,1,1,2,0,0,2,2,E01013437
2.00912E+12,464790.0,455280.0,-1.013321,53.989512,12,Severe,2,1,13/01/2009,3,41:00.0,189,E06000014,6,0,6,40,3,4,6,0,0,0,1,1,1,0,0,2,1,E01013437
2.00912E+12,459420.0,455200.0,-1.095227,53.989437,12,Severe,2,1,13/01/2009,3,05:00.0,189,E06000014,6,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01013431
2.00912E+12,460430.0,452800.0,-1.0803,53.967752,12,Severe,2,1,13/01/2009,3,00:00.0,189,E06000014,6,0,2,30,0,-1,-1,0,0,0,4,1,1,0,0,1,2,E01013368
2.00912E+12,458840.0,449930.0,-1.105087,53.942143,12,Severe,2,1,13/01/2009,3,40:00.0,189,E06000014,3,1036,6,30,3,4,6,0,0,0,1,1,2,0,0,1,2,E01013358
2.00912E+12,464070.0,455330.0,-1.02429,53.990051,12,Severe,2,1,14/01/2009,4,30:00.0,189,E06000014,3,1036,1,30,1,4,3,64,0,0,1,1,1,0,0,2,2,E01013437
2.00912E+12,460710.0,453660.0,-1.075862,53.975448,12,Severe,2,1,16/01/2009,6,45:00.0,189,E06000014,6,0,6,30,1,4,6,0,0,0,4,1,1,0,0,1,1,E01013348
2.00912E+12,461480.0,447990.0,-1.065263,53.924403,12,Severe,2,1,18/01/2009,1,05:00.0,189,E06000014,3,64,1,40,1,4,3,19,0,0,1,1,1,0,0,2,1,E01013365
