id,title,authors,venue,year
eBnT7lhV2LwJ,Aurora: A Data Stream Management System (demo description),"D Abadi, D Carney, U Cetintemel, M Cherniack, C  ",Proceedings of the 2003 ACM SIGMOD Conference on Management ,N/A
gBVNSFeS4P8J,Aurora: a new model and architecture for data stream management,"DJ Abadi, D Carney, U Ã?etintemel, M Cherniack, C  ","The VLDB Journal The International Journal on Very Large  &hellip;,",2003
VuY9Y49GqXgJ,Aurora: A Data Stream Management System,"DJ Abadi, D Carney, U Cetintemel, M Cherniack, C  ",N/A,N/A
AxpQwgyRyLgJ,Active XML Documents with Distribution and Replication,"S Abiteboul, A Bonifati, G Cobena, I Manolescu, T  ","ACM SIGMOD,",N/A
Rjb06zlxbLIJ,Dynamic XML documents with distribution and replication,"S Abiteboul, A Bonifati, G Cobena, I Manolescu, T  ","SIGMOD Conference,",2003
4GT0Krd9RP0J,A database interface for le update,"S Abiteboul, S Cluet, T Milo","SIGMOD,",N/A
cu9DXtjeF24J,A database interface for file update - group of 2 &raquo;,"S Abiteboul, S Cluet, T Milo","Proceedings of the 1995 ACM SIGMOD international conference  &hellip;,",1995
DakOA4Ew-poJ,A Database Interface for Files Update. To appear:,"S Abiteboul, S Cluet, T Milo","Proc. ACM SIGMOD International Conference on Management of  &hellip;,",N/A
WWaxLMIptTMJ,Self-tuning Histograms: Building Histograms Without Looking at Data,"A Aboulnaga, S Chaudhuri","SIGMOD Conference,",1999
xnDzelm2t1QJ,Self-tuning Histograms: Building Histograms Without Looking at Data,"AA AC, S Chaudhuri",Proceedings of the ACM SIGMOD International Conference on ,N/A
_-yXA5HLnqoJ,Broadcast disks: Data management for asymmetric communications environments,"SA VI, R Alonso, M Franklin, S Zdonik",Proceedings of the ACM SIGMOD Conference on Management of ,N/A
0lAHCM-lcjIJ,Data Management for Asymmetric Communication Environments,"S Acharya, R Alonso, M Franklin, S Zdonik, B Disks","Proc. ACM SIGMOD Conf., San Jose, CA, May,",N/A
2fO9nM2FoGYJ,Broadcast Disks: Data Management for Asymmet-0 20 40 60 80 100 Percentage of DONT_CARE ImpLimit  ,"S Acharya, R Alonso, M Franklin, S Zdonik","ACM SIGMOD,",N/A
cHxtmO9talkJ,Broadcast disks: Data management for asymmetric communications environments,"SA PI, R Alonso, M Franklin, S Zdonik","Proceedings of ACM SIGMOD conference, San Jose, CA, May,",N/A
clF04MGcPSUJ,Broadcast Disks: data management for asymmetric communications Environment. ACM SIGMOD Int,"S Acharya, R Alonso, MJ Franklin, S Zdonik","Conference on Management of Data (SIGMOD 95), San Jose, CA,",N/A
GOguWgH6D_UJ,"Broadcast disks: data management for asymmetric communication environments, University of Maryland  ","S Acharya, R Alonso, M Franklin, S Zdonik","MD,",N/A
h2z51QPXcSkJ,Broadca. rt l) ikr: data management for uymmetrir communications Environment,"S Acharya, R Alonso, MJ Franklin, S Zdonik",N/A,1995
rO4-yA3tlfoJ,Broadcast Disks: Data Management for Asymmetric Communication Environments,"S Acharya, R Alonso, M Franklin, S Zdonik","SIGMOD Conference,",1995
y74PIIvb_GMJ,Broadcast Disks: Data Management for Asymmetric Communications Environments,"S Achary, M Franklin, S Zdonik, R Alonso","Proceedings of the ACCM SIGMOD International Conference on  &hellip;,",N/A
ZdWKBKSoMUQJ,Broadcast disks: Data managementfor asymmetriccommunications environments,"S Acharya, R Alonso, M Franklin, S Zdonik","Proceedings of the ACM SIGMOD International Conference on  &hellip;,",N/A
9OEjtHuRUzsJ,Balancing Push and Pull for Data Broadcast,"S Acharya, M Franklin, S Zdonik","SIGMOD Conference,",1997
FDPwbRQbfIAJ,Balancing Push and Pull for Broadcast Data,"S Acharya, M Franklin, S Zdonik","Proc. ACM SIGMOD Conf., Tucson, AZ, May,",N/A
Hf3gZHIcm58J,Balancing Pushand PullforData broadcast,"S Acharya, M Franklin, S Zdonik","InProceedings of the ACM SIGMOD International Conference on  &hellip;,",N/A
NDzryNtTyL8J,Pull for Broadcast Data,"S Acharya, M Franklin, S Zdonik, B Push","Proc. ACM SIGMOD Conf., Tucson, AZ, May,",N/A
QCAu6wPhnAAJ,Balancing push and pull for data broadcast,"A Swarup, M Franklin, S Zdonik","Proceedings of the ACM SIGMOD Conference, Tucson-Arizona,  &hellip;,",N/A
qdCTR7WpuFUJ,"Balancing push and pull for data broadcast,&quot;","M Franklin, S Zdonik","Proceedings of the ACM SIGMOD, May,",N/A
umGxlKvzLoUJ,Pull for Data Broadcast,"S Acharya, M Franklin, S Zdonik, B Push","Proc. ACM SIGMOD Conf., Tucson, AZ, May,",N/A
q_bQLiJ-KZAJ,Congressional Samples for Approximate Answering of Aggregate Queries,"S Acharya, PB Gibbons, V Poosala","Proceedings of ACM SIGMOD,",N/A
smzeHDQ3zbMJ,"Congressional Samples for Approximate Answering of Group-By Queries, ACM SIGMOD Int","S Acharaya, PB Gibbons, V Poosala","Conference on Management of Data,",N/A
WGWZ2cNZW2YJ,Congressional Samples for Approximate Answering of Group-By Queries,"S Acharya, PB Gibbons, V Poosala","SIGMOD Conference,",2000
5vntH4boqdgJ,The Aqua approximate query answering system,"SA CR941, PB Gibbons, V PoosaIa, S Ramaswamy","Proc. ACM SIGMOD lnrernational Co@ on Management of Data,  &hellip;,",N/A
a1esMNRsK_UJ," , S. Ramaswamy, and T. Suel. AQUA: System and techniques for approximate query answering","PB Gibbons, V Poosala, S Acharya, Y Bartal","Technical report, Bell Laboratories, Murray Hill, NJ, Feb.",N/A
mOngiXbKrNkJ,The AQUA approximate query answering system. SIGMOD 1999,"S Acharya, PB Gibbons, V Poosala, S Ramaswamy","Proceedings ACM SIGMOD International Conference on  &hellip;,",N/A
s064OghlyIUJ,The Aqua approximate query answering system,"S Acharya, PB Gibbons, V Poosala, S Ramaswamy","Proceedings of the 1999 ACM SIGMOD international conference  &hellip;,",1999
t8KDgCSg9RIJ,AQUA: System and techniques for approximate query answering,"PB Gibbons, V Poosala, S Acharya, Y Bartal, Y  ",N/A,N/A
ahfoveFQC2sJ,Join synopses for improving approximate query answers,"S Acharya, P Gibbons, V Poosala, S Ramaswarmy","Proc. of ACM SIGMOD Conf,",N/A
C221gFS5VVoJ,Join Synopses for Approximate Query Answering,"SAPBG Viswanath, PS Ramaswamy",N/A,N/A
czJmrc_4tZ4J,Join Synopsesfor Approximate Query Answering,"S Acharya, PB Gibbons, V Poosala, S Ramaswamy",ACM,N/A
EpUtXEhwDaUJ,Join Synopses for Approximate Query Answering,"SA AGPR, PB Gibbons, V Poosala, S Ramaswamy",Proceedings of the ACM SIGMOD International Conference on ,N/A
IkNOhDqEY18J,Join Synopses for Approximate Query Answering,"S Acharya, PB Gibbons",N/A,N/A
mYFf63cZ4lUJ,"PoosalaV., Ramaswamy S. Join Synopses for Approximate Query Answering","S Acharya, PB Gibbons",Proc. 1999 ACM SIGMOD International Conference on Management,N/A
VlVV2mEnoQ4J,"Join synopses for approximate query answering, ACM SIGMOD Int","S Acharaya, PB Gibbons, V Poosala, S Ramaswamy","Conference on Management of Data,",N/A
0dY1brFaEzgJ,Selectivity Estimation in Spatial Databases,"S Acharya, V Poosala, S Ramaswamy",N/A,N/A
2RuI2vzDUW8J,andS. Ramaswamy. Selectivity estimation in spatial databases,"S Acharya, V Poosala","Proceedings ACM SIGMOD Conference on Management of Data,",N/A
gKOsM57uFB4J,Selectivity Estimation in Spatial Databases,"S Achaya, V Poosala, S Ramaswamy","Proc. ACM SIGMOD IntÃ¢??l Conf. Management of Data,",N/A
KrVgTXcNPPUJ,"Selectivity Estimation in Spatial Databases, ACM SIGMOD Intl","S Achaya, V Poosala, S Ramaswamy","Conference on Management of Data,",N/A
#NAME?,Selectivity EstimationinSpatial Databases,"S Acharya, V Poosala, S Ramaswamy","Proc. ACM SIGMOD,",N/A
69JsZwNpla0J,andV. S. Subrahmanian. A Multi-Similarity Algebra,"S Adal, P Bonati, ML Sapino",Proc. of 1998 Sigmod Conference on Management of,N/A
rYC-j_j4Yv0J,A Multi-Similarity Algebra,"S Adal, P Bonatti, ML Sapino, VS Subrahmanian",N/A,N/A
